object_id,object_name,geometry_type,ancient_layer,period,evidence_type,evidence_grade,modern_anchor,ancient_position,metric_info,source,gis_method,status
GIS-DOC030,九洲池环岛路,线/点,九洲池道路,唐宋,整理摘录,B/C,唐宫中路以北；原洛阳玻璃集团浮法一线西部,九洲池南侧区,环岛路线索,20260707 考古报告.doc,作为宫苑道路线索；需回查走向,待回查
GIS-DOC031,西夹城范围,面,宫城西侧夹城,隋唐,整理摘录,B/C,洛阳市西工区中部,宫城西侧夹城,平面南北向长方形；南北长约970米；东西宽约180米,20260707 考古报告.doc,补宫城西侧外围结构；需回查边界,待回查
GIS-DOC032,西夹城东墙,线/点,西夹城城墙,隋唐,整理摘录,B/C,玻璃厂北部,西夹城东界,城墙线索,20260707 考古报告.doc,先作线索线；需回查图件,待回查
GIS-DOC033,嘉豫门补充线索,点,宫城西墙/西夹城城门,唐,整理摘录,B/C,金谷园村东面；陇海铁路南侧沿宫城西墙向南,宫城西墙相关门址,城门线索,20260707 考古报告.doc,与GIS-G011互证；需回查精确位置,待回查
GIS-DOC034,西夹城街道组,线/点组,西夹城街道,唐宋,整理摘录,B/C,洛阳玻璃集团唐二小区；洛阳玻璃集团宾馆南楼附近；洛阳玻璃集团唐三小区；洛阳玻璃集团高压锅炉房2号蓄渣池附近,西夹城内部街道,3条街道,20260707 考古报告.doc,按街道组入库；需拆分一至三号街道,待回查
GIS-DOC035,西夹城基址组,点/面组,西夹城建筑基址,唐宋,整理摘录,B/C,洛阳玻璃集团宾馆南楼附近；洛阳玻璃集团唐四小区；洛阳玻璃集团高压锅炉房2号蓄渣池附近；洛阳玻璃集团原料车间；洛阳玻璃集团芒硝库,西夹城内部基址,7座基址,20260707 考古报告.doc,按基址组入库；后续拆分,待回查
GIS-DOC036,西夹城水渠组,线/点组,西夹城水渠,唐宋,整理摘录,B/C,西夹城北墙中部；洛阳玻璃集团唐四小区,西夹城内部水渠,4条水渠；一号水渠南北向，南距宫城南墙970米,20260707 考古报告.doc,作为水系补充线索；需回查走向,待回查
GIS-DOC037,曜仪城范围,面,宫城北部曜仪城,唐宋,整理摘录,B/C,洛阳市陇海铁路与春都路之间区域,玄武城北侧,东西长约2100米；南北宽约134米；平面东西向长方形；四面皆有城墙,20260707 考古报告.doc,补宫城北部城制结构；需回查边界,待回查
GIS-DOC038,曜仪门,点/面,曜仪城城门,唐宋,整理摘录,B/C,曜仪城南墙,曜仪城南墙门址,钻探到门址,20260707 考古报告.doc,与玄武城北向通道关系待核,待回查
GIS-DOC039,曜仪城街道,线/点,曜仪城街道,唐,整理摘录,B/C,洛阳市印染厂院内,曜仪城内部街道,唐代街道1条,20260707 考古报告.doc,先作点位线索；需回查走向,待回查
GIS-DOC040,玄武城范围,面,宫城北部玄武城,隋唐,整理摘录,B/C,洛阳市道南路两侧,大内北侧,东西长约2100米；南北宽约280米；南墙居中为玄武门，北墙居中为曜仪门,20260707 考古报告.doc,与GIS-A005互证；需回查边界,待回查
GIS-DOC041,玄武城南墙,线/点组,玄武城城墙,隋唐,整理摘录,B,洛阳市果品公司院内及其西侧解剖沟；洛阳玻璃集团造箱厂板库院内；起重机厂院内；洛阳市二运二分公司,玄武城南界,多次发掘,20260707 考古报告.doc,按发掘点组约束墙线；需回查原报告,待回查
GIS-DOC042,玄武城北墙,线/点组,玄武城城墙,隋唐,整理摘录,B,印染厂；春都集团科技公司；洛阳汽车配件公司；洛阳外贸加工厂,玄武城北界,多个发掘点,20260707 考古报告.doc,按发掘点组约束墙线；需回查原报告,待回查
GIS-DOC043,玄武门补充线索,点/面,玄武城南墙中部城门,隋唐,整理摘录,B,洛阳起重机厂北侧/煤厂北侧,宫城轴线上的重要坐标,玄武城南墙门址缺口宽约7.1米,20260707 考古报告.doc,与GIS-G007互证；需回查精确图件,待回查
GIS-DOC044,玄武城街道组,线/点组,玄武城街道,唐,整理摘录,B/C,平顶山梨园煤矿驻洛办事处院内；洛阳市冷冻机械厂院内,玄武城内部街道,2条街道,20260707 考古报告.doc,按点组入库；需回查走向,待回查
GIS-DOC045,玄武城水渠组,线/点组,玄武城水渠,唐宋,整理摘录,B/C,起重机厂北部；玄武城南墙北侧；洛阳二运二分公司综合住宅楼东部；起重机厂院内；梨园煤矿院内；洛阳玻璃集团造箱厂院内,玄武城内部水渠,3条水渠,20260707 考古报告.doc,补北部水系线索；需回查走向和分期,待回查
GIS-DOC046,圆璧城范围,面,宫城北部圆璧城,隋唐,整理摘录,B/C,邙山南麓二级台地,曜仪城北侧,平面略呈东西向长方形；东西长约2100米；西端南北宽约450米，东端南北宽约530米,20260707 考古报告.doc,与GIS-A006互证；修正圆璧城范围,待回查
GIS-DOC047,圆璧城北墙,线,圆璧城城墙,隋唐,整理摘录,B/C,高冈山；岳村东北隅；春都集团厂区东北侧；洛阳木工厂院内,圆璧城北界,东西约2100米；东起岳村东北隅，西抵春都集团厂区东北侧,20260707 考古报告.doc,补圆璧城北墙线索；需回查图件,待回查
GIS-DOC048,圆璧城南墙,线,圆璧城城墙,隋唐,整理摘录,B/C,曜仪城北墙,圆璧城南界,与曜仪城北墙相关,20260707 考古报告.doc,与曜仪城边界联动核验,待回查
GIS-DOC049,龙光门补充线索,点,圆璧城/宫城北部城门,唐,整理摘录,B/C,建校小五金厂东北角,圆璧城相关门址,城门线索,20260707 考古报告.doc,与GIS-G009互证；需回查原报告,待回查
GIS-DOC050,圆璧门补充线索,点/面组,圆璧城城门,唐,整理摘录,B/C,洛阳市铁路电务段修配所院内；洛阳市邮电局道北路营业所院内,圆璧城东墙/南墙门址,圆璧南门在洛阳城中轴线上,20260707 考古报告.doc,与GIS-G008、GIS-G010互证；需拆分东墙门和南门,待回查
GIS-DOC051,圆璧城街道与隔墙,线/点组,圆璧城街道隔墙,唐宋,整理摘录,B/C,洛阳市种子公司家属院内,圆璧城内部,1条街道；2道隔墙,20260707 考古报告.doc,作为圆璧城内部结构线索；需回查走向,待回查
GIS-DOC052,宫城外围隔城总关系,面组/线组,宫城隔城体系,隋唐,第三册原报告核补,B,宫城大内东西两侧及北侧,大内四周拱卫结构,大内东西两侧各有两重隔城即东隔城与东夹城西隔城与西夹城北侧三重隔城,第3册第六章宫城下开篇 p703,建立宫城外围隔城结构总图层与DOC001-DOC051关联,已核目录与页图
GIS-DOC053,东隔城东墙探方组,点组/线,东隔城东墙,唐宋,第三册原报告核补,B,老城区公安分局；百业大市场；五金工具厂；坛角小学；唐宫东路住宅小区；洛阳机电公司；中州路南沿,东夹城西墙/东隔城东墙,东墙南北长970米；相关探方GT753 GT521 GT321 GT648 GT546 GT177 GT846,第3册第六章第一节东隔城 p703-p707 图6-1至图6-6,把各探方作为墙线控制点核验DOC002,待定位
GIS-DOC054,安宁门四期门址,面/点组,东隔城安宁门,唐,第三册原报告核补,B,今洛阳市铸造厂院内,东隔城门址,GT857；东距东隔城东墙170米；门址分唐代一至四期；一期墩台东西29.95米南北15.9米门道宽5.35米,第3册第六章第一节安宁门 p715-p720 图6-13至图6-17,比DOC004更适合拆为四期门址面；可先用GT857作控制点,待定位
GIS-DOC055,东隔城街道隔墙基址水渠图件组,线/点组,东隔城内部结构,唐宋,第三册原报告核补,B/C,东隔城范围内,东隔城内部街道隔墙基址水渠,第六章第一节含街道隔墙基址与水渠发掘；唐代遗迹p724；宋代遗迹p730,第3册第六章第一节 p724-p730,补DOC005-DOC009的原报告章节定位；待逐图拆分,待回查
GIS-DOC056,郭城街道勘探总量,线组,郭城街道,隋唐,第三册结语核补,C,洛河以南与洛河以北郭城范围,郭城内街道系统,洛河以南南北向街道12条东西向街道6条；洛河以北南北向街道4条东西向街道3条；定鼎门街局部残宽最宽116米,第3册第八章第一节 p955,作为现代道路叠合时的郭城街道尺度参照；不是直接发掘点,待拆分
GIS-DOC057,坊间道路与十字街尺度,线组,郭城里坊道路,隋唐,第三册结语核补,C,履道坊与集贤坊之间长夏门街东第四街；履道坊内,坊间及里坊内部道路,坊间道路残宽约8.5米且两侧有水渠；里坊内部十字街宽5-8米；一般里坊间街道宽约15米,第3册第八章第一节 p955,用于古今街巷尺度对比和里坊格网示意,待拆分
GIS-DOC058,郭城里坊数量与尺度,面组/网格,郭城里坊,隋唐,第三册结语核补,C,洛河以南与洛河以北郭城范围,里坊格网,实勘洛河以南55坊洛河以北9坊；里坊平面方形；东西长500-580米南北宽520-560米,第3册第八章第一节 p955-p956,作为里坊网格复原的尺度约束；需与唐两京城坊考互证,待互证
GIS-DOC059,宫城形制布局总结,面组/线组,宫城总体结构,隋唐唐五代北宋,第三册结语核补,C,宫城位于郭城西北部,宫城及四周附属小城,隋代以大内为中心东西各两重隔城北面三重隔城；唐代宫城范围通常指大内及左右四重隔城,第3册第八章第一节 p957,作为宫城边界层的结构解释与分层依据,待互证
GIS-DOC060,隋唐洛阳城水系总关系,线组/网络,都城水系,隋唐,第三册结语核补,C,伊河洛河瀍水涧水及人工渠道,自然河流与人工渠道网络,自然河流经人工改造形成水网；解决生活景观用水并形成以洛阳为中心的南北漕运动脉,第3册第八章第二节 p964-p968,作为水系底图和叙事层；需与第三册水系段和第二册图件互证,待互证
GIS-DOC061,九洲池水系核心关系,线组/面,宫城皇城水系,隋唐,第三册结语核补,B/C,九洲池及宫城皇城水渠,九洲池与宫城皇城水系,九洲池为宫城和皇城水系核心；支渠连接谷水与九洲池；谷水入池沉淀后流向宫城和皇城各池沼,第3册第八章第二节 p968,解释DOC021-DOC030与宫城皇城水系的关系；需回查支渠图件,待回查
GIS-DOC062,皇城中渠,线,皇城水系,隋唐,第三册结语核补,B/C,皇城中部东西向,皇城中部横向水渠,考古清理一条横穿皇城中部的东西向渠；可能为皇城中渠；渠宽5.6-21.7米,第3册第八章第二节 p968,可作为皇城水系线索但需原图定位,待回查
GIS-DOC063,谷渠,线,宫城西侧护城/分水渠,隋唐,第三册结语核补,B/C,宫城西墙外且与宫城西墙平行,宫城西侧水渠,文献称渠在洛水之北自苑内分谷水东流；位置在宫城西墙外且与宫城西墙平行；兼护城河功能,第3册第八章第二节 p968,补宫城西侧水系边界与防御关系,待回查
GIS-DOC064,瀍城渠,线,东城外水渠/护城壕,隋唐北宋,第三册结语核补,B/C,东城东墙外,瀍城渠遗迹,瀍城渠出含嘉仓城循城南流；东城东墙外考古发现瀍城渠遗迹；渠宽25米；北宋沿用形成护城壕,第3册第八章第二节 p968,补东城与含嘉仓城水系关系；非中轴线但有助整体底图,待回查
GIS-DOC065,上阳宫园林遗址,面/点组,上阳宫,唐五代北宋,第三册原报告核补,C,洛阳城西部上阳宫遗址区,皇家园林遗址,第七章上阳宫含唐代遗迹五代北宋遗迹和遗物；遗址包括园林建筑水池等线索,第3册第七章 p937-p949,作为低优先扩展层；当前宫城中轴线GIS可暂不展开,待后续
GIS-DOC066,九洲池宫廷园林尺度与岛基址,面/点组,九洲池园林,隋唐,第三册结语核补,B/C,宫城内西北隅九洲池,九洲池池体岛屿与基址,结语称九洲池东西约255米南北约140米；池内已探出圆形或椭圆形小岛六座；三座小岛上发掘基址各一处,第3册第八章第三节 p970,补DOC021-DOC030的池体尺度和园林解释；需与第六章九洲池发掘章互证,待互证
GIS-DOC067,第一册总测图与宫城皇城东城分布图,图件/索引,宫城皇城东城总关系,隋唐至宋,第一册原报告核补,B,洛阳市老城区与西工区；唐宫路；中州路；九都路；金业路,宫城皇城东城及水系整体关系,图1-5为1965年实测图；图1-7示宫城皇城东城宋代遗迹分布；图1-8示水系复原,第1册第一章 p5-p13 图1-5 图1-7 图1-8,作为总底图与关系索引；不可直接替代第二三册细部发掘图,可作背景层
GIS-DOC068,皇城范围与宫城南接关系,面/线,皇城总体范围,隋唐至北宋,第一册原报告核补,B/C,今洛阳市西工区和老城区范围内；南临洛河；北接宫城,宫城之南；太微城或南城,隋唐皇城平面呈四字形；东西长2100米；南北宽725米；南临洛河；北接宫城,第1册第三章皇城 p154,解释应天门南侧不是孤立边界；可作南侧背景范围,背景层
GIS-DOC069,皇城东墙与东夹城衔接,线/点,皇城东墙,隋唐至北宋,第一册原报告核补,B,九都路南侧洛河滩；马路街和金业路交叉路口东北部；洛阳市物资回收公司家属院,皇城东界；北接宫城东墙和东夹城东墙,方向3度；南北复原长725米；北段探方HT176；唐代三号街道路土在皇城东墙西侧,第1册第三章皇城 p156-p157 图3-3,用于解释当前东侧边界与东夹城及承福门大街关系；需与第二三册配准,待配准
GIS-DOC070,皇城西墙与西侧边界,线/点,皇城西墙,隋唐至北宋,第一册原报告核补,B/C,洛阳市七一路东侧；洛阳市第二实验中学操场东南部；洛阳市委家属院西南部；洛阳市蔬菜公司院内,皇城西界,方向3度；南北全长725米；探方HT43和HT167；唐代三号水渠相关,第1册第三章皇城 p157 图3-4,作为嘉豫门大街西界外南侧背景参照；非主图核心,待配准
GIS-DOC071,东城承福门线索,点/线,东城南墙城门,隋唐,第一册原报告核补,B/C,东城南墙；洛河；道场；德猷门南向延长线；含嘉门至南墙交点,东城南门；承福门,文献称位于东城南墙；西距左掖门二里；南临洛河；1987年发现东城南墙后推定其位置,第1册第四章东城 p260,与现代承福门大街名称关系需慎重；先作东侧背景门址线索,待互证
GIS-DOC072,含嘉门线索,点/线,东城北墙及含嘉仓城关系,隋唐,第一册原报告核补,B/C,洛阳市建筑公司环城北路家属院；环城北路与环城西路相接东南隅；中州渠改造区,东城北墙城门；南对承福门；北对德猷门,文献称含嘉门在东城北墙；近年发现与德猷门相对南北向街及承福门内南北向街；2002年中州渠改造发现长条形石块可能相关,第1册第四章东城 p260,用于解释东城至含嘉仓城通道；当前主图可暂作背景,待互证
GIS-DOC073,东城一号街道/承福门街,线,东城街道,唐宋,第一册原报告核补,B,洛阳市东风毛毯厂机修车间；洛阳市第三十中学；洛阳市第六中学；洛阳市第二十五中学院内,东城内南北向一号街道；承福门至含嘉门,南起承福门北抵含嘉门；西距东城西墙65米；30中钻探南北长130米东西宽32米；25中南北约50米东西宽3-6米；DT20,第1册第四章东城 p261 图4-9 图4-14,作为承福门大街东侧命名与古代东城道路关系的核查线索；需与现代道路比对,待配准
GIS-DOC074,隋唐洛阳城水系复原总图,线组/网络,宫城皇城东城水系,隋唐,第一册原报告核补,B/C,九洲池；谷水支渠；皇城中渠；永泰门南侧水渠；洛河；瀍水,宫城皇城东城及郭城水系网络,图示九洲池；谷水支渠；皇城中渠；永泰门南侧水渠与洛河等水系关系,第1册第一章 p13 图1-8,作为水系叙事底图；具体渠线仍以第二三册发掘页为准,解释层
GIS-DOC075,九洲池遗址范围与1960钻探洑土区,面,九洲池池苑,隋唐,第三册原报告核补,B,洛阳玻璃集团厂区西北隅；宫城西隔城中北部,九洲池池体及洑土范围,遗址位于宫城西隔城中北部；1960年钻探确认宫城西北角大面积洑土；西距西墙5米；北距大内北墙148米；洑土呈斜置L形；东西280米；南北最宽260米；总面积约55600平方米,第3册第六章第三节 p766 图6-65,作为九洲池范围主面层；需与图6-64和现代底图配准,待配准
GIS-DOC076,九洲池1982-1986钻探轮廓与引水渠,面/线,九洲池池体及引水系统,隋唐,第三册原报告核补,B,宫城西北部；玄武城南250米处；西隔城北部,九洲池轮廓与东、西两支引水渠,1982-1986年初步搞清九洲池轮廓；遗址位于宫城西北部玄武城南250米处；东西长约205米；南北宽约130米；池北东西两侧各有宽约5米渠道向北延伸至玄武城南墙附近后内折；引水渠钻探南北长约250米东西宽3-5米,第3册第六章第三节 p769 图6-64,补九洲池与玄武城南侧水系关系；可作为水系线层和池体范围校准依据,待配准
GIS-DOC077,九洲池池内岛屿组,点组/面组,九洲池岛屿,隋唐,第三册原报告核补,B,九洲池现有范围内；宫城西隔城中北部,九洲池I至VI号岛屿,钻探出六座岛屿；I号在九洲池东北隅东西40米南北25-30米；II号在I号西南部东西38米南北23-30米；III号在九洲池东南隅东西51米南北12-26米；IV号在西北隅东西34米南北27米；V号在IV号之南东西32米南北16-25米；VI号在西南隅东西46米南北13-45米,第3册第六章第三节 p769-p770 图6-64,可转为六个岛屿面或中心点；用于九洲池园林空间复原,待矢量化
GIS-DOC078,九洲池水道与南侧建筑基址关系,线组/点组,九洲池水道和建筑基址,隋唐,第三册原报告核补,B,洛阳玻璃集团厂区东南部和浮法三线成品库；大内西墙与西隔城东墙之间,九洲池七条水道及四号基址周边,发掘发现唐代水道七条；一号位于九洲池东南；二三号在唐代四号基址建筑之间；四号在四号基址南侧；五号在五号基址东端；六号在七号基址西南；七号在七号基址东；一号水道GT365东距大内西墙40米南距大内南墙560米；二号水道GT505 GT506东距西隔城东墙180米南距西隔城南墙560米；三号水道GT504 GT505同距西隔城东墙180米南距西隔城南墙560米,第3册第六章第三节 p770-p771 图6-64 图6-70,可作为九洲池内部水道线层；优先画一至三号水道并标注其与四号基址关系,待矢量化
GIS-DOC079,西夹城总体范围,面,西夹城,隋唐,第三册原报告核补,B/C,今洛阳市西工区中部；西接宫城西墙；北接玄武城；南接皇城,宫城西侧夹城空间,西夹城东与西隔城相邻；南与皇城相邻；北与玄武城相邻；平面呈南北向长方形；南北长970米；东西宽180米；东墙即西隔城西墙；西墙即宫城西墙；南墙即宫城南墙；北墙即玄武城南墙,第3册第六章第四节 p829,作为宫城西侧主边界背景面；解释九洲池和嘉豫门之间的空间归属,待配准
GIS-DOC080,西夹城东墙北段,线/点,西夹城城墙,隋唐,第三册原报告核补,B,玻璃厂北部；玄武城南墙以南,西夹城东墙北段,1960年钻探发现西夹城东墙北段；北段从玄武城南墙向南174米；宽25米；夯土距地表1.5米；夯土中有南北向沟长27米宽5米；南段城墙变窄宽16米,第3册第六章第四节 p830 图6-104 图6-137,可作西夹城东界线段；与九洲池西侧和唐宫路附近关系需叠合,待配准
GIS-DOC081,嘉豫门遗址线索,点/线,西夹城城门,隋唐,第三册原报告核补,B/C,旧金谷园村东；陇海铁路南侧；宫城西墙南向地带,西夹城西墙城门；可能为嘉豫门,1954年在旧金谷园村东北距西北城角1268米处钻探到夯土和碎砖瓦；1959年沿宫城西墙向南再次钻探；城墙宽10-13.3米；旧金谷园正东面城墙有缺口南北宽约6米东西长12米；缺口西侧发现东西向道路宽10米距地表3.5米；结合文献判断为嘉豫门遗址,第3册第六章第四节 p830-p831,可作为嘉豫门大街命名与古代宫城西门关系核查点；需谨慎标为推定点,待互证
GIS-DOC082,西夹城唐代一号街道,线,西夹城街道,唐宋,第三册原报告核补,B,洛阳玻璃集团唐二小区院内,西夹城南北向中线道路,探方GT630；东距西夹城东墙95米；南距西夹城南墙80米；道路南北向；位于西夹城南北向中线上；图6-105示宋代一号街道和唐代一号街道路土关系,第3册第六章第四节 p831 图6-105,可作西夹城内部道路线；用于对照现代小区道路和唐宫路附近路网,待配准
